,Timestamp,Object_List,Objects_Count,frisbee,clock,tv,bus,stop sign,person,chair,train,truck,car,airplane,traffic light,fire hydrant
0,1549644022433441,"['car', 'bus']",2,,,,1.0,,,,,,1.0,,,
1,1549644096958792,['car'],1,,,,,,,,,,1.0,,,
2,1549643696432807,"['car', 'car']",2,,,,,,,,,,2.0,,,
3,1549642887517865,['car'],1,,,,,,,,,,1.0,,,
4,1549642799261356,['car'],1,,,,,,,,,,1.0,,,
5,1549644599801519,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
6,1549643105699506,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
7,1549643344166579,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
8,1549643259883189,['car'],1,,,,,,,,,,1.0,,,
9,1549643410175670,['car'],1,,,,,,,,,,1.0,,,
10,1549644439426949,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
11,1549643353513658,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
12,1549644544501435,['car'],1,,,,,,,,,,1.0,,,
13,1549642996025021,['car'],1,,,,,,,,,,1.0,,,
14,1549643710974967,"['car', 'car']",2,,,,,,,,,,2.0,,,
15,1549643342356161,"['truck', 'car', 'truck', 'truck', 'car']",5,,,,,,,,,3.0,2.0,,,
16,1549644204791490,['car'],1,,,,,,,,,,1.0,,,
17,1549644298555076,['car'],1,,,,,,,,,,1.0,,,
18,1549643614369477,['car'],1,,,,,,,,,,1.0,,,
19,1549643393754822,['car'],1,,,,,,,,,,1.0,,,
20,1549644378384073,"['car', 'car']",2,,,,,,,,,,2.0,,,
21,1549643857321674,"['car', 'car']",2,,,,,,,,,,2.0,,,
22,1549643804200652,['car'],1,,,,,,,,,,1.0,,,
23,1549643102080721,"['car', 'car']",2,,,,,,,,,,2.0,,,
24,1549642731757269,['car'],1,,,,,,,,,,1.0,,,
25,1549643594242043,['car'],1,,,,,,,,,,1.0,,,
26,1549644142939865,['car'],1,,,,,,,,,,1.0,,,
27,1549642726270685,"['person', 'person', 'car', 'car', 'car', 'car', 'car']",7,,,,,,2.0,,,,5.0,,,
28,1549643974336223,['car'],1,,,,,,,,,,1.0,,,
29,1549642935408354,"['car', 'car', 'truck']",3,,,,,,,,,1.0,2.0,,,
30,1549643679962851,['car'],1,,,,,,,,,,1.0,,,
31,1549644398651109,['car'],1,,,,,,,,,,1.0,,,
32,1549643318476520,['car'],1,,,,,,,,,,1.0,,,
33,1549642697137897,"['truck', 'truck', 'truck']",3,,,,,,,,,3.0,,,,
34,1549642860238570,['car'],1,,,,,,,,,,1.0,,,
35,1549643300181739,"['truck', 'car', 'car']",3,,,,,,,,,1.0,2.0,,,
36,1549644313331436,['car'],1,,,,,,,,,,1.0,,,
37,1549644348090095,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
